"id","location_name","sole_name","parent_id","location_level"
"610627","甘泉县","陕西省延安市甘泉县","610600","2"
"610628","富县","陕西省延安市富县","610600","2"
"610629","洛川县","陕西省延安市洛川县","610600","2"
"610630","宜川县","陕西省延安市宜川县","610600","2"
"610631","黄龙县","陕西省延安市黄龙县","610600","2"
"610632","黄陵县","陕西省延安市黄陵县","610600","2"
"610700","汉中市","陕西省汉中市","610000","1"
"610701","市辖区","陕西省汉中市市辖区","610700","2"
"610702","汉台区","陕西省汉中市汉台区","610700","2"
"610721","南郑县","陕西省汉中市南郑县","610700","2"
"610722","城固县","陕西省汉中市城固县","610700","2"
"610723","洋县","陕西省汉中市洋县","610700","2"
"610724","西乡县","陕西省汉中市西乡县","610700","2"
"610725","勉县","陕西省汉中市勉县","610700","2"
"610726","宁强县","陕西省汉中市宁强县","610700","2"
"610727","略阳县","陕西省汉中市略阳县","610700","2"
"610728","镇巴县","陕西省汉中市镇巴县","610700","2"
"610729","留坝县","陕西省汉中市留坝县","610700","2"
"610730","佛坪县","陕西省汉中市佛坪县","610700","2"
"612400","安康地区","陕西省安康地区","610000","1"
"612401","安康市","陕西省安康地区安康市","612400","2"
"612422","汉阴县","陕西省安康地区汉阴县","612400","2"
"612423","石泉县","陕西省安康地区石泉县","612400","2"
"612424","宁陕县","陕西省安康地区宁陕县","612400","2"
"612425","紫阳县","陕西省安康地区紫阳县","612400","2"
"612426","岚皋县","陕西省安康地区岚皋县","612400","2"
"612427","平利县","陕西省安康地区平利县","612400","2"
"612428","镇坪县","陕西省安康地区镇坪县","612400","2"
"612429","旬阳县","陕西省安康地区旬阳县","612400","2"
"612430","白河县","陕西省安康地区白河县","612400","2"
"612500","商洛地区","陕西省商洛地区","610000","1"
"612501","商州市","陕西省商洛地区商州市","612500","2"
"612522","洛南县","陕西省商洛地区洛南县","612500","2"
"612523","丹凤县","陕西省商洛地区丹凤县","612500","2"
"612524","商南县","陕西省商洛地区商南县","612500","2"
"612525","山阳县","陕西省商洛地区山阳县","612500","2"
"612526","镇安县","陕西省商洛地区镇安县","612500","2"
"612527","柞水县","陕西省商洛地区柞水县","612500","2"
"612700","榆林地区","陕西省榆林地区","610000","1"
